goblin	/18452-goblin	https://i.mydramalist.com/JkD8Xs.jpg?v=1	8.8
strong woman do bong soon	/18894-strong-woman-do-bong-soon	https://i.mydramalist.com/XZqYJs.jpg?v=1	8.7
weightlifting fairy kim bok joo	/19262-weightlifting-fairy-kim-bok-joo	https://i.mydramalist.com/D2X7Ds.jpg?v=1	8.8
descendants of the sun	/54059-descendants-of-the-sun	https://i.mydramalist.com/6Eb1X_4s.jpg?v=1	8.0
w	/16589-w	https://i.mydramalist.com/6wjE0_4s.jpg?v=1	8.5
what's wrong with secretary kim	/759571-what-s-wrong-with-secretary-kim	https://i.mydramalist.com/60nWL2_4s.jpg?v=1	
it's okay to not be okay	/49865-psycho-but-it-s-okay	https://i.mydramalist.com/xw3xX_4s.jpg?v=1	8.9
crash landing on you	/35729-emergency-lands-of-love	https://i.mydramalist.com/XrN2ds.jpg?v=1	9.0
boys over flowers	/2987-boys-over-flowers	https://i.mydramalist.com/peoVE_4s.jpg?v=1	7.5
the heirs	/6640-the-heirs	https://i.mydramalist.com/qWb15s.jpg?v=1	7.6
while you were sleeping	/1606-while-you-were-sleeping	https://i.mydramalist.com/x4XJrs.jpg?v=1	7.7
hotel del luna	/32925-hotel-del-luna	https://i.mydramalist.com/RApq6s.jpg?v=1	8.6
my love from the star	/27963-my-love-from-the-star	https://i.mydramalist.com/rbgPNs.jpg?v=1	7.6
healer	/10814-healer	https://i.mydramalist.com/lBOo4s.jpg?v=1	8.8
pinocchio	/736969-pinocchio	https://i.mydramalist.com/qmn65_4s.jpg?v=1	
moon lovers: scarlet heart ryeo	/15999-moon-lovers-scarlet-heart-ryeo	https://i.mydramalist.com/jWJxbs.jpg?v=1	8.7
vincenzo	/61371-vincenzo	https://i.mydramalist.com/vAnBe_4s.jpg?v=1	8.9
the legend of the blue sea	/18816-the-legend-of-the-blue-sea	https://i.mydramalist.com/BjZj6s.jpg?v=1	8.3
itaewon class	/33898-itaewon-class	https://i.mydramalist.com/kOpKms.jpg?v=1	8.4
i'm not a robot	/24351-im-not-a-robot	https://i.mydramalist.com/X4LAds.jpg?v=1	8.4
fight for my way	/62545-fight-for-my-way	https://i.mydramalist.com/B11zb_4s.jpg?v=1	
true beauty	/38627-true-beauty	https://i.mydramalist.com/qP2kK_4s.jpg?v=1	8.3
my id is gangnam beauty	/29185-my-id-is-gangnam-beauty	https://i.mydramalist.com/DXB6rs.jpg?v=1	7.8
squid game	/40257-round-six	https://i.mydramalist.com/X6vkX_4s.jpg?v=1	8.4
suspicious partner	/22602-suspicious-partner	https://i.mydramalist.com/vQvO2s.jpg?v=1	8.3
a business proposal	/752535-a-business-proposal	https://i.mydramalist.com/rNmeBZ_4s.jpg?v=1	7.4
her private life	/32293-her-private-life	https://i.mydramalist.com/AvL7vs.jpg?v=1	8.3
"kill me, heal me"	/10873-kill-me-heal-me	https://i.mydramalist.com/p2j0ns.jpg?v=1	8.7
extraordinary you	/33768-july-found-by-chance	https://i.mydramalist.com/E24zps.jpg?v=1	8.4
flower of evil	/711573-flower-of-evil	https://i.mydramalist.com/jpE68_4s.jpg?v=1	7.6
she was pretty	/15055-she-was-pretty	https://i.mydramalist.com/XAd0gs.jpg?v=1	8.0
because this is my first life	/24678-because-this-is-my-first-life	https://i.mydramalist.com/PdBoys.jpg?v=1	8.4
cinderella and the four knights	/16119-cinderella-and-the-four-knights	https://i.mydramalist.com/dRnx5s.jpg?v=1	7.8
secret garden	/22227-secret-garden	https://i.mydramalist.com/6nAmgs.jpg?v=1	7.5
cheese in the trap	/14457-cheese-in-the-trap	https://i.mydramalist.com/YEKpos.jpg?v=1	7.4
love alarm	/22126-love-alarm	https://i.mydramalist.com/B2QQ5s.jpg?v=1	7.1
the k2	/19048-the-k2	https://i.mydramalist.com/2DNVws.jpg?v=1	8.2
